account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
7/24/2022,41,Dallas,Teacher,58901,557,110,TRUE,2,1.518563181276302,TRUE,6177.967069205917,2131.9421300135814,,2,3/2/2024,3/12/2024,1,TRUE,,TRUE,FALSE,FALSE
10/31/2023,20,Atlanta,Accountant,16310,422,1,FALSE,1,1.4042336980174843,FALSE,64434.60915863755,51612.806450768825,4,2,4/22/2021,9/21/2024,4,TRUE,,FALSE,FALSE,FALSE
2/16/2022,39,New York,Accountant,3454,604,0,FALSE,1,1.1505638728092413,FALSE,33348.172918228614,21576.869292499887,0,0,2/25/2022,5/12/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/16/2022,70,Dallas,Other,9162,545,0,FALSE,1,1.465333761869385,FALSE,73440.95380112891,50198.42742647606,1,0,9/19/2019,10/2/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
1/9/2024,19,Houston,Doctor,91104,677,0,FALSE,1,0.981162353,FALSE,47392.87627298361,,0,0,2/10/2018,12/25/2023,4,FALSE,FALSE,TRUE,FALSE,TRUE
4/4/2021,41,Dallas,Software Developer,72993,672,39,FALSE,2,1.1690718471151806,FALSE,50485.28776076917,,1,0,6/11/2015,10/7/2024,0,TRUE,FALSE,FALSE,FALSE,FALSE
4/9/2023,61,Atlanta,Other,7423,714,10,FALSE,1,1.8203691117113636,FALSE,58055.27182977438,46396.82483941655,0,0,1/3/2015,2/1/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
3/31/2021,47,Houston,Other,2123,,0,FALSE,1,0.7912015919130382,FALSE,73608.55673,,0,0,3/31/2019,12/23/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
11/21/2022,55,Boston,Teacher,35967,393,97,TRUE,5,2.9682369333244942,TRUE,11614.97305998898,3538.799918,3,1,10/27/2019,2/2/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
11/26/2020,19,Houston,Artist,18274,610,0,FALSE,1,2.2092664269802693,FALSE,56178.33053107093,54674.20375427779,0,0,5/21/2024,4/11/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
2/24/2020,38,Miami,Accountant,19858,582,0,FALSE,1,1.247786815229074,TRUE,23343.269760188126,21732.645765229565,1,1,6/26/2021,6/18/2024,2,FALSE,,FALSE,TRUE,FALSE
10/15/2022,50,New York,Other,5109,465,101,TRUE,4,2.4738492232772185,FALSE,12486.241849963348,5151.425469746378,4,2,5/20/2016,12/4/2023,4,FALSE,FALSE,TRUE,FALSE,FALSE
11/20/2021,29,Atlanta,Teacher,36972,714,0,FALSE,1,0.8684515701880975,FALSE,79132.17883506001,55529.29579416335,0,0,4/16/2019,11/10/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
3/9/2020,39,Atlanta,Doctor,66881,570,56,FALSE,1,0.9305577811065742,FALSE,19548.235739704807,,2,1,11/23/2017,3/7/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
9/9/2024,61,San Francisco,Consultant,16904,501,0,FALSE,1,1.2042911217713268,FALSE,72187.65645271851,55024.90266863853,2,1,1/6/2016,6/8/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
11/7/2019,42,Miami,Teacher,35762,488,0,FALSE,1,1.9330652083567037,FALSE,87309.03954608427,50756.37389700769,3,2,8/10/2017,11/30/2023,3,FALSE,FALSE,FALSE,TRUE,FALSE
4/17/2023,66,Chicago,Artist,13697,747,1,FALSE,1,1.361047350961681,FALSE,57269.666612367364,,0,0,2/18/2017,3/31/2024,4,FALSE,FALSE,FALSE,TRUE,TRUE
2/9/2020,44,Houston,Accountant,31500,310,90,FALSE,6,1.9771278728873847,FALSE,8177.832046403366,1791.0041396202394,3,2,5/19/2021,3/11/2024,4,TRUE,FALSE,TRUE,FALSE,TRUE
1/17/2022,59,San Francisco,Accountant,29161,651,0,FALSE,1,1.758605848052553,FALSE,93261.06400950215,57494.12906,0,0,10/2/2021,6/25/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/5/2019,45,Los Angeles,Accountant,23444,772,28,FALSE,1,1.0571474034766686,FALSE,54848.98659910446,40397.044367275135,0,0,4/27/2015,10/7/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/15/2023,33,Atlanta,Banker,5795,713,0,FALSE,1,0.9380343607079332,FALSE,37506.404433782904,32534.9285,0,0,1/8/2015,9/27/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
9/5/2022,32,Atlanta,Teacher,36305,588,0,TRUE,1,1.5288678061853014,FALSE,83803.62389945083,62200.47069580791,2,1,9/22/2019,9/16/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
9/8/2022,64,Los Angeles,Banker,7921,573,0,TRUE,1,1.1196843403871855,FALSE,24122.710099215084,18784.126200749277,1,0,3/26/2022,12/28/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
2/29/2020,68,Miami,Other,8785,712,0,TRUE,1,1.1326052205559662,FALSE,84846.30203355831,52999.12945,0,0,8/5/2017,7/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/24/2021,61,San Francisco,Consultant,14661,376,98,TRUE,2,1.4375523540780788,TRUE,22491.14054200752,5547.5791479372665,3,1,3/6/2020,6/11/2024,3,TRUE,FALSE,FALSE,TRUE,FALSE
8/4/2024,72,Seattle,Teacher,28527,731,0,FALSE,1,1.745769234028765,FALSE,101205.65190545219,60504.396831693455,0,0,5/17/2024,1/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
1/15/2024,69,Miami,Teacher,52122,553,0,FALSE,1,0.9726365490113337,FALSE,70141.96078619995,43887.476879920214,2,0,11/30/2018,1/8/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
5/30/2020,74,New York,Lawyer,68273,754,0,FALSE,1,1.2466340064417138,FALSE,31148.127230636885,23608.515797558044,0,0,3/26/2018,11/25/2023,0,TRUE,FALSE,FALSE,FALSE,FALSE
6/21/2023,20,Boston,Banker,46085,578,0,FALSE,1,1.2704238557090375,FALSE,29164.61472348881,16461.966067157693,,1,3/3/2015,4/5/2024,2,FALSE,FALSE,TRUE,FALSE,FALSE
11/29/2023,54,Dallas,Accountant,16354,527,112,FALSE,1,2.7393649561643527,TRUE,16086.87600383635,4810.330672213434,4,1,2/16/2017,4/16/2024,2,TRUE,TRUE,FALSE,FALSE,FALSE
11/23/2021,68,Los Angeles,Banker,6094,646,0,TRUE,1,0.91821929,FALSE,96098.23984,78184.35480104161,0,0,4/18/2020,9/22/2024,0,FALSE,,FALSE,FALSE,FALSE
4/15/2021,24,Atlanta,Teacher,59938,433,106,FALSE,3,1.950109842369692,TRUE,49390.69068322666,9033.649084428434,3,2,12/26/2014,5/8/2024,3,FALSE,TRUE,TRUE,TRUE,FALSE
9/30/2020,38,Los Angeles,Doctor,29388,777,0,FALSE,1,1.6296725359482804,FALSE,16902.094015856444,15358.121234031412,0,0,10/30/2014,7/7/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
6/16/2020,26,Dallas,Accountant,20900,504,93,TRUE,2,1.691201909831704,FALSE,32427.952974116626,8679.096398754597,3,1,9/26/2015,8/7/2024,2,TRUE,TRUE,FALSE,FALSE,TRUE
2/7/2020,56,Miami,Banker,6711,413,0,FALSE,1,1.5986349514108795,FALSE,72140.53668515809,45306.30948872162,3,2,11/24/2016,4/20/2024,3,FALSE,,TRUE,FALSE,FALSE
8/1/2022,35,Seattle,Teacher,39262,537,0,FALSE,1,1.2605749158000032,TRUE,59820.196221278384,37832.95009836774,,0,5/9/2015,5/31/2024,3,FALSE,FALSE,FALSE,FALSE,TRUE
2/25/2024,21,Houston,Banker,7602,639,0,FALSE,1,1.5066082783101225,FALSE,59032.83052,47873.721554262906,0,0,12/27/2014,1/10/2024,0,TRUE,FALSE,TRUE,FALSE,FALSE
5/22/2022,42,Seattle,Lawyer,57464,797,0,FALSE,1,0.9697726383145072,FALSE,36522.12816841539,25960.98537,0,0,9/27/2020,8/9/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/24/2024,31,Houston,Other,5598,,0,FALSE,2,1.167099164042712,FALSE,51758.124823304184,41650.36783411998,0,0,11/26/2022,2/18/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/25/2023,67,Los Angeles,Other,2576,356,92,TRUE,2,2.6579646734214366,TRUE,21857.297690961143,11597.30789749489,,1,8/6/2023,5/25/2024,4,FALSE,TRUE,TRUE,FALSE,FALSE
3/17/2024,26,New York,Retail Worker,17227,803,0,FALSE,1,1.5799714368642659,FALSE,38867.923675787424,22379.05275914539,0,0,1/24/2018,9/27/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/17/2021,43,Houston,Artist,51687,800,0,FALSE,1,1.1428819467907778,FALSE,24729.58350213462,16204.202298969201,0,0,9/16/2018,4/10/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
1/23/2024,70,Miami,Accountant,21798,450,104,TRUE,2,1.343577744133686,FALSE,37741.63016,17874.953626254355,4,1,8/20/2016,12/30/2023,3,TRUE,FALSE,TRUE,FALSE,TRUE
7/29/2023,19,Atlanta,Software Developer,71012,547,0,FALSE,1,1.6523669426308871,TRUE,32193.234421951372,21121.95402196507,1,1,3/23/2017,1/11/2024,1,TRUE,TRUE,TRUE,FALSE,TRUE
10/3/2021,37,Houston,Banker,8233,746,0,FALSE,1,1.6326843133663649,FALSE,89133.90908014713,76087.12567082145,0,0,4/15/2021,1/24/2024,3,FALSE,FALSE,FALSE,FALSE,TRUE
11/12/2021,45,Los Angeles,Other,5182,680,0,FALSE,2,1.0627579796872484,TRUE,20273.30176069302,12861.947898409868,0,0,6/17/2021,3/11/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
8/31/2020,64,Atlanta,Banker,2390,710,0,FALSE,1,0.7909400750491031,FALSE,46607.41462909099,,0,0,6/24/2021,6/29/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/1/2022,24,Miami,Other,5193,644,0,FALSE,1,0.8808931277586489,FALSE,28945.46406593877,20585.13399317539,0,0,7/22/2024,8/25/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/5/2024,61,Boston,Accountant,29800,561,0,FALSE,1,0.9680857298835065,FALSE,57191.45455567469,43382.20141,2,1,2/10/2024,7/14/2024,2,FALSE,FALSE,FALSE,TRUE,FALSE
2/12/2020,25,San Francisco,Teacher,47480,686,2,FALSE,1,1.612494821164602,FALSE,46310.24688596839,35621.91596993349,0,0,9/20/2020,9/1/2024,0,FALSE,,FALSE,FALSE,FALSE
8/14/2023,64,Chicago,Consultant,14664,404,94,FALSE,6,1.654957492042009,TRUE,9054.818548570123,2250.8969903189122,4,2,11/16/2016,1/28/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
5/8/2021,52,San Francisco,Teacher,46058,463,0,FALSE,1,1.8699039069388732,TRUE,54543.64821100288,49795.90928987508,4,1,3/31/2018,7/21/2024,4,TRUE,TRUE,FALSE,FALSE,FALSE
11/18/2022,31,San Francisco,Banker,7562,625,0,FALSE,1,0.7971784731350394,TRUE,85478.53112387024,57789.05349208121,0,0,9/23/2022,9/12/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
4/13/2023,34,Houston,Lawyer,62149,656,0,TRUE,1,2.045855183409659,FALSE,59473.70846802995,50679.73544,0,0,12/27/2016,7/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
7/30/2021,53,Seattle,Teacher,42860,573,104,TRUE,3,0.8875754493407114,TRUE,30881.117619656212,6621.466708,4,2,11/20/2021,11/3/2023,2,FALSE,TRUE,TRUE,FALSE,FALSE
4/16/2020,67,Los Angeles,Consultant,2847,684,0,TRUE,1,2.1516877920215864,TRUE,109849.76107595307,75397.37965556902,0,0,8/5/2023,3/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/26/2022,57,Seattle,Engineer,58602,702,0,FALSE,1,1.1374105235249843,TRUE,44874.61061354336,30543.641678645334,0,0,8/4/2022,9/14/2024,0,FALSE,,FALSE,FALSE,FALSE
4/26/2020,21,Dallas,Other,6505,548,0,FALSE,1,0.9332937240341189,FALSE,11538.21983403747,10090.471012180307,2,1,6/10/2023,12/10/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
1/13/2021,19,Dallas,Other,7781,508,0,FALSE,2,1.7250313733530305,FALSE,23223.594924172394,17100.747465234355,2,0,5/14/2015,11/22/2023,1,FALSE,,FALSE,FALSE,FALSE
5/11/2020,23,Houston,Consultant,13645,576,0,FALSE,1,1.2841419488037593,FALSE,90956.74136775149,74494.27503,2,0,12/23/2015,10/6/2024,2,FALSE,,TRUE,FALSE,TRUE
3/24/2024,71,Chicago,Engineer,5467,509,0,FALSE,1,0.8226507285460146,FALSE,22862.14808817389,16287.250886833208,,1,5/8/2023,10/23/2024,4,FALSE,FALSE,TRUE,FALSE,TRUE
1/6/2021,59,Boston,Banker,2643,560,4,FALSE,1,1.0853789466674397,FALSE,87628.94728928193,49546.35980238741,2,0,4/10/2024,7/6/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
6/6/2023,21,Atlanta,Software Developer,8643,597,0,FALSE,1,0.8244893843590492,FALSE,66483.1484,58029.23607202825,2,0,7/15/2023,7/9/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
6/17/2024,71,Miami,Retail Worker,16913,737,0,TRUE,1,1.0745375986997747,FALSE,91218.26243295784,74040.85685398451,0,0,4/23/2022,12/22/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/10/2024,46,San Francisco,Artist,9841,357,104,TRUE,4,0.6824268571501495,FALSE,5922.185913962478,2911.5140977298574,4,1,7/9/2017,12/19/2023,4,TRUE,,TRUE,TRUE,TRUE
11/12/2020,35,Miami,Banker,4765,,91,TRUE,8,1.6298610324983234,TRUE,37565.33744030517,15732.073735187541,4,2,6/5/2021,4/16/2024,4,TRUE,,TRUE,FALSE,TRUE
5/29/2024,43,San Francisco,Accountant,55000,769,0,FALSE,1,1.3073917522577674,FALSE,96068.92414,74974.51140679726,,0,5/7/2016,11/16/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/24/2023,61,New York,Accountant,42369,373,0,FALSE,1,1.2940253281500287,FALSE,55234.41141838646,38645.628423502385,4,2,11/2/2014,10/10/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
10/12/2023,51,Houston,Other,48575,420,0,FALSE,1,1.1913964392950047,FALSE,77769.37678,43475.20307,4,2,12/1/2017,9/1/2024,4,FALSE,FALSE,TRUE,FALSE,FALSE
11/9/2022,27,New York,Banker,7318,666,0,FALSE,1,1.3554310849804379,FALSE,45030.160230687856,37956.26240263606,0,0,2/5/2021,10/28/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/2/2022,53,Miami,Other,5604,677,0,FALSE,1,1.1735213924481818,FALSE,30660.441078501048,22129.806986614367,0,0,11/27/2017,4/10/2024,0,TRUE,FALSE,FALSE,TRUE,FALSE
2/29/2024,31,Atlanta,Consultant,96723,829,0,FALSE,1,2.1449863955324897,FALSE,96868.35766330126,79261.43282420219,0,0,12/3/2021,12/14/2023,0,FALSE,FALSE,FALSE,FALSE,TRUE
1/4/2024,48,Miami,Other,6290,524,0,FALSE,1,0.7688174952017388,FALSE,72590.20560684151,51335.95601203801,1,1,9/22/2023,1/3/2024,4,FALSE,FALSE,FALSE,FALSE,TRUE
9/19/2020,65,Los Angeles,Banker,7846,773,0,FALSE,1,1.0380534951675802,FALSE,47580.918988109064,41119.262772099384,0,0,6/17/2018,8/4/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/25/2021,32,Houston,Other,3362,782,0,FALSE,1,1.1730729512871672,FALSE,65602.06963336632,42224.86605833282,0,0,11/13/2020,4/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/2/2022,25,Seattle,Banker,5539,577,32,TRUE,3,2.4319006890759387,TRUE,60916.99672688519,43485.70579863122,2,1,9/24/2023,12/24/2023,4,FALSE,,FALSE,FALSE,TRUE
11/13/2023,31,San Francisco,Consultant,13399,833,0,FALSE,1,0.9825870456976142,FALSE,62543.72326377163,41325.110894676065,0,0,6/27/2021,7/12/2024,0,FALSE,FALSE,FALSE,TRUE,FALSE
12/4/2019,40,Houston,Engineer,84030,632,0,FALSE,1,1.4289900082992821,FALSE,40043.415384026455,,,0,9/5/2020,9/3/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/31/2022,74,Boston,Other,3902,649,0,FALSE,1,1.3561553923045067,FALSE,81110.77219453652,,0,0,12/20/2019,10/1/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
4/3/2024,57,New York,Teacher,40666,799,0,FALSE,1,1.5120803639441331,FALSE,67044.80406140511,52239.65307325086,0,0,6/19/2015,8/18/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/12/2024,38,Houston,Other,9748,639,0,FALSE,1,1.690075012828021,TRUE,22542.174892890656,19027.098491763936,0,0,12/22/2018,1/17/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
8/1/2021,33,Chicago,Other,5501,574,0,FALSE,1,1.4286094277539696,FALSE,44432.595716739605,29644.730967414667,2,1,12/12/2021,6/14/2024,2,FALSE,FALSE,FALSE,TRUE,FALSE
3/4/2021,62,Miami,Retail Worker,18437,554,52,FALSE,1,1.0816214132500288,FALSE,26670.744662484416,16468.59908,2,1,4/18/2022,4/25/2024,2,FALSE,TRUE,TRUE,FALSE,FALSE
4/4/2021,35,Chicago,Doctor,66492,803,0,FALSE,1,0.7074766022077987,FALSE,44519.89487309847,,0,0,11/12/2015,1/22/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/30/2022,64,Houston,Consultant,16945,446,90,TRUE,7,1.3582795848336193,FALSE,37247.920038256685,19483.16193377947,3,2,3/7/2020,6/5/2024,3,FALSE,TRUE,FALSE,FALSE,TRUE
7/20/2020,70,Dallas,Lawyer,45465,840,0,FALSE,1,1.0036883647264283,FALSE,51589.049925287676,42253.46504,0,0,11/19/2020,8/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/7/2023,41,Dallas,Other,5769,698,8,TRUE,1,1.3117188658591543,FALSE,56593.82724474079,50639.71003521603,0,0,10/22/2022,7/16/2024,0,FALSE,,FALSE,FALSE,FALSE
2/29/2020,43,Boston,Teacher,30029,593,10,FALSE,1,1.3821924111741433,TRUE,92220.33083414062,70327.805,2,1,9/3/2022,5/5/2024,2,TRUE,FALSE,FALSE,FALSE,FALSE
7/27/2023,42,Seattle,Teacher,54432,763,4,FALSE,1,0.6385785912710491,FALSE,49218.33534166581,32667.755974399777,0,0,2/10/2022,6/4/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/8/2019,62,Boston,Other,8126,545,0,FALSE,1,1.3142881653990945,FALSE,65027.59769850198,42284.856125148115,1,1,1/17/2018,11/19/2023,3,FALSE,FALSE,TRUE,FALSE,TRUE
1/2/2024,58,Seattle,Banker,6578,768,0,FALSE,1,0.8070195254510815,FALSE,19543.438890704056,14209.88568471881,0,0,9/26/2015,5/24/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/16/2022,46,Atlanta,Other,9971,493,4,FALSE,1,1.3384633376973682,FALSE,80687.90378356152,48442.03366939996,3,2,11/15/2017,10/10/2024,3,FALSE,FALSE,TRUE,FALSE,TRUE
8/1/2020,32,New York,Retail Worker,19371,595,0,FALSE,1,1.4494010167135418,FALSE,65144.320277543135,46717.2059,2,0,7/8/2022,9/23/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
2/7/2022,62,Houston,Banker,6026,659,6,FALSE,1,0.8112807743509713,FALSE,56971.815047023636,46838.23837519894,0,0,3/13/2017,1/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
1/31/2024,18,Chicago,Consultant,7735,560,0,FALSE,1,1.2594002432766478,FALSE,29971.999729380357,26454.218549468587,1,0,9/1/2019,10/22/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
3/1/2022,42,Dallas,Banker,8300,560,91,TRUE,9,1.7457437685053234,TRUE,32436.539328960695,14516.127137379373,3,2,10/10/2018,6/20/2024,2,TRUE,TRUE,TRUE,FALSE,FALSE
9/4/2024,24,Boston,Banker,2201,588,0,FALSE,1,1.7779630151914991,FALSE,67478.71974636528,69761.42655269185,2,1,7/14/2017,10/28/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
12/29/2021,26,Los Angeles,Banker,9951,360,94,TRUE,2,0.9037459754361431,TRUE,15407.13423565833,5915.622053996507,4,1,11/10/2022,10/5/2024,3,FALSE,,FALSE,FALSE,FALSE
6/12/2021,41,New York,Software Developer,25011,568,0,TRUE,1,1.3686810382440286,FALSE,81611.16093399617,58485.304689715056,1,1,4/24/2022,8/2/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
7/23/2024,18,Los Angeles,Retail Worker,9664,741,0,FALSE,1,1.0540411742245763,FALSE,35339.59941746477,26837.603542195215,0,0,6/14/2016,9/3/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/14/2021,61,Miami,Consultant,14046,798,0,FALSE,1,1.8640248642727204,TRUE,47968.430950686954,31414.035733187357,0,0,6/13/2023,12/29/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
7/20/2023,25,Chicago,Software Developer,43346,588,0,FALSE,1,1.6166643005114232,FALSE,73473.88421995292,47178.682868915974,2,1,11/10/2017,4/8/2024,1,FALSE,FALSE,FALSE,FALSE,TRUE
12/17/2020,41,Atlanta,Banker,8876,698,0,FALSE,1,1.2708742719719408,FALSE,21888.497093004982,12528.00799680392,0,0,12/26/2021,11/16/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
1/30/2024,28,Seattle,Software Developer,70802,502,97,TRUE,2,1.646160042838408,TRUE,5926.716326652408,1669.6805502373063,,2,6/19/2016,2/18/2024,1,TRUE,TRUE,TRUE,TRUE,FALSE
3/7/2024,68,Los Angeles,Banker,4560,707,7,FALSE,1,1.202371050183362,FALSE,81738.44513321345,59905.63596494359,0,0,10/5/2018,2/20/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/16/2024,34,Miami,Consultant,14929,637,96,TRUE,10,3.2255777955760623,FALSE,6541.280914280503,2036.4834446907373,4,2,5/2/2016,9/1/2024,4,TRUE,FALSE,TRUE,FALSE,TRUE
7/18/2024,25,Atlanta,Doctor,30424,597,0,FALSE,1,1.4717980754048667,TRUE,71935.0719,73740.09500567253,2,0,12/5/2020,11/14/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
4/5/2024,52,Seattle,Teacher,22855,404,103,TRUE,6,1.914160459835099,TRUE,22772.04675499086,7872.970416623596,4,2,9/14/2023,10/2/2024,4,TRUE,TRUE,FALSE,FALSE,TRUE
5/22/2022,52,Boston,Teacher,30007,811,0,FALSE,1,0.7449165076188738,FALSE,64468.394351783565,42648.30052036135,0,0,3/27/2023,7/12/2024,0,FALSE,,TRUE,FALSE,FALSE
9/25/2024,50,Dallas,Banker,6357,632,0,FALSE,1,2.262618284365186,FALSE,28819.123434118384,24490.76333297763,0,0,9/30/2024,11/2/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/6/2020,22,Miami,Other,4109,410,61,FALSE,2,1.5589961389143878,TRUE,11588.976940256594,6375.503492300014,4,1,12/10/2017,11/2/2023,4,TRUE,TRUE,TRUE,FALSE,FALSE
3/25/2020,59,Dallas,Teacher,22447,662,0,FALSE,1,1.5333288370605596,FALSE,19232.69087427042,11856.233285854665,,0,2/11/2019,4/1/2024,0,FALSE,,FALSE,FALSE,FALSE
